METHOD,EXAM,PER5,PER10,PER20
P_S,0.3645,0.0059,0.0176,0.1647
gp02,0.2323,0.0588,0.1882,0.4882
muse,0.1494,0.4529,0.5412,0.6765
ample,0.1374,0.4118,0.5353,0.7235
tarantula,0.1344,0.4529,0.5176,0.7118
zoltar,0.1342,0.4588,0.5118,0.7118
jaccard,0.1447,0.4,0.4765,0.6941
dstar2,0.1452,0.3882,0.4765,0.6941
ochiai,0.1337,0.4529,0.5118,0.7118
P_S_win1,0.3612,0.0059,0.0235,0.1882
gp02_win1,0.2348,0.0706,0.2176,0.4706
muse_win1,0.1514,0.4176,0.5412,0.6765
ample_win1,0.1396,0.3941,0.5471,0.7
tarantula_win1,0.141,0.3765,0.5059,0.7176
zoltar_win1,0.1301,0.4471,0.5529,0.7176
jaccard_win1,0.1494,0.3529,0.4941,0.7059
dstar2_win1,0.1513,0.3412,0.4941,0.7118
ochiai_win1,0.1319,0.4353,0.5353,0.7235
P_S_win2,0.3592,0,0.0235,0.1765
gp02_win2,0.2366,0.0824,0.2176,0.4882
muse_win2,0.1454,0.4412,0.5588,0.6941
ample_win2,0.1378,0.3941,0.5588,0.7176
tarantula_win2,0.1333,0.4118,0.5294,0.7235
zoltar_win2,0.1213,0.4647,0.5706,0.7471
jaccard_win2,0.1474,0.3353,0.5,0.7294
dstar2_win2,0.1492,0.3176,0.5059,0.7235
ochiai_win2,0.1233,0.4588,0.5588,0.7412
P_S_win3,0.3572,0,0.0294,0.1765
gp02_win3,0.2372,0.0882,0.2118,0.5
muse_win3,0.1453,0.4529,0.5765,0.7059
ample_win3,0.1373,0.4118,0.5588,0.7471
tarantula_win3,0.1332,0.4118,0.5294,0.7235
zoltar_win3,0.1189,0.4882,0.5765,0.7529
jaccard_win3,0.1501,0.3176,0.5059,0.7
dstar2_win3,0.1518,0.3059,0.5059,0.6941
ochiai_win3,0.1215,0.4647,0.5647,0.7471
P_S_win4,0.3554,0,0.0353,0.1765
gp02_win4,0.2389,0.0824,0.2059,0.4824
muse_win4,0.1426,0.4588,0.5706,0.7
ample_win4,0.138,0.4176,0.5529,0.7471
tarantula_win4,0.1332,0.4118,0.5588,0.7294
zoltar_win4,0.1158,0.4882,0.5765,0.7529
jaccard_win4,0.1494,0.3353,0.5059,0.7235
dstar2_win4,0.1515,0.3235,0.5059,0.7118
ochiai_win4,0.1181,0.4824,0.5765,0.7471
P_S_win5,0.3541,0,0.0412,0.1765
gp02_win5,0.2399,0.0765,0.1941,0.4882
muse_win5,0.1361,0.4765,0.5706,0.7059
ample_win5,0.1362,0.4353,0.5706,0.7412
tarantula_win5,0.1323,0.4,0.5529,0.7353
zoltar_win5,0.1149,0.5,0.5941,0.7529
jaccard_win5,0.1507,0.3176,0.5,0.7235
dstar2_win5,0.1526,0.3118,0.4941,0.7118
ochiai_win5,0.1211,0.4765,0.5882,0.7412
P_S_win6,0.3546,0,0.0353,0.1882
gp02_win6,0.2403,0.0824,0.2,0.4824
muse_win6,0.1416,0.4529,0.5588,0.7118
ample_win6,0.1358,0.4412,0.5765,0.7529
tarantula_win6,0.1306,0.4059,0.5412,0.7588
zoltar_win6,0.1122,0.5059,0.6,0.7706
jaccard_win6,0.1499,0.3059,0.5176,0.7235
dstar2_win6,0.152,0.3059,0.5059,0.7176
ochiai_win6,0.1183,0.4765,0.5824,0.7706
P_S_win7,0.3555,0.0059,0.0412,0.1824
gp02_win7,0.2413,0.0824,0.1824,0.4882
muse_win7,0.1436,0.4647,0.5706,0.7176
ample_win7,0.134,0.4118,0.5765,0.7647
tarantula_win7,0.1332,0.4,0.5294,0.7412
zoltar_win7,0.1113,0.5059,0.6,0.7824
jaccard_win7,0.152,0.3,0.4882,0.7176
dstar2_win7,0.1537,0.3,0.4765,0.7059
ochiai_win7,0.1187,0.4765,0.5765,0.7647
P_S_win8,0.3547,0,0.0471,0.2
gp02_win8,0.2428,0.0824,0.1882,0.4882
muse_win8,0.1446,0.4706,0.5824,0.7176
ample_win8,0.1344,0.4176,0.5647,0.7765
tarantula_win8,0.1379,0.4,0.5235,0.7353
zoltar_win8,0.1108,0.5118,0.6,0.7882
jaccard_win8,0.1537,0.3,0.4941,0.7118
dstar2_win8,0.1553,0.2941,0.4882,0.7059
ochiai_win8,0.1186,0.4824,0.5765,0.7588
P_S_win9,0.3536,0.0059,0.0471,0.1941
gp02_win9,0.2443,0.0824,0.1941,0.4824
muse_win9,0.1451,0.4647,0.5941,0.7176
ample_win9,0.1358,0.4235,0.5588,0.7706
tarantula_win9,0.1398,0.3824,0.5059,0.7353
zoltar_win9,0.1103,0.5235,0.6059,0.7882
jaccard_win9,0.1547,0.3,0.4765,0.7059
dstar2_win9,0.156,0.2941,0.4765,0.7
ochiai_win9,0.1186,0.4824,0.5765,0.7529
